id	P-001	P-003	P-004	P-005	P-006	P-007	P-008	P-009	P-010	P-011	P-012	P-013	P-014	P-015	P-016	P-017
bin_45	1522	0	850	1238	0	0	0	1405	0	0	0	0	0	1465	0	0
bin_55	1396	1455	1379	861	1201	302	1495	15	719	405	415	299	1000	959	642	1642
bin_6	1485	1632	2005	2229	1339	1979	1768	1375	1471	1034	1360	920	1225	1043	1115	1874
bin_8	531	454	525	488	403	619	372	263	290	191	256	207	320	225	220	393
bin_28	1587	1079	935	862	1341	1072	1081	364	593	465	313	376	761	709	640	1145
bin_41	445	376	1265	353	1640	1674	1441	1272	1095	226	395	663	981	761	677	519
bin_59	108	80	5	7	3	5	88	16	37	0	33	13	18	25	30	10
bin_100	108	84	240	139	0	213	92	7	4	27	18	117	133	107	51	74
bin_137	262	228	416	200	233	697	672	274	335	282	243	217	345	274	360	246
bin_155	76	53	53	84	29	180	44	64	74	38	91	70	99	51	71	55
bin_167	20	36	147	60	3	642	149	111	99	24	35	151	185	81	182	18
bin_176	19	170	77	323	540	716	67	14	56	110	71	299	26	84	87	23
bin_227	18	8	6	18	6	30	3	0	0	4	2	4	7	12	10	4
bin_233	409	235	224	193	294	242	259	93	102	103	92	83	138	126	138	233
bin_272	14	0	18	10	16	63	10	32	26	6	8	6	5	4	9	4
bin_273	251	24	580	85	693	786	47	232	61	639	8	468	149	506	614	75
